             x                 y                 z              cell   
           -0.5              -0.5              -0.5                 0 
            0.5              -0.5              -0.5                 1 
           -0.5               0.5              -0.5                 2 
            0.5               0.5              -0.5                 3 
           -0.5              -0.5               0.5                 4 
            0.5              -0.5               0.5                 5 
           -0.5               0.5               0.5                 6 
            0.5               0.5               0.5                 7 
          -0.25             -0.75             -0.25                 8 
          -0.25             -0.25             -0.25                 9 
           0.25             -0.25             -0.25                10 
          -0.25              0.25             -0.25                11 
           0.25              0.25             -0.25                12 
          -0.25             -0.25              0.25                13 
           0.25             -0.25              0.25                14 
          -0.25              0.25              0.25                15 
          -0.25              0.75              0.25                16 
           0.25              0.25              0.25                17 
         -0.125            -0.125            -0.375                18 
         -0.125            -0.375            -0.125                19 
         -0.125            -0.125            -0.125                20 
          0.125            -0.125            -0.125                21 
          0.375            -0.125            -0.125                22 
         -0.375             0.125            -0.125                23 
         -0.125             0.125            -0.125                24 
         -0.125             0.375            -0.125                25 
          0.125             0.125            -0.375                26 
          0.125             0.375            -0.375                27 
          0.125             0.125            -0.125                28 
         -0.375            -0.125             0.125                29 
         -0.125            -0.125             0.125                30 
         -0.375            -0.125             0.375                31 
         -0.125            -0.125             0.375                32 
          0.125            -0.125             0.125                33 
         -0.375             0.125             0.125                34 
         -0.125             0.125             0.125                35 
         -0.125             0.125             0.375                36 
         -0.125             0.375             0.375                37 
          0.125             0.125             0.125                38 
          0.125             0.125             0.375                39 
        -0.1875           -0.1875           -0.0625                40 
        -0.0625           -0.1875           -0.0625                41 
        -0.1875           -0.0625           -0.0625                42 
        -0.0625           -0.0625           -0.0625                43 
         0.0625           -0.0625           -0.1875                44 
         0.0625           -0.1875           -0.0625                45 
         0.1875           -0.1875           -0.0625                46 
         0.0625           -0.0625           -0.0625                47 
        -0.1875            0.0625           -0.1875                48 
        -0.0625            0.0625           -0.1875                49 
        -0.1875            0.1875           -0.1875                50 
        -0.0625            0.0625           -0.0625                51 
         0.0625            0.0625           -0.0625                52 
         0.1875            0.0625           -0.0625                53 
         0.0625            0.1875           -0.0625                54 
        -0.0625           -0.1875            0.0625                55 
        -0.1875           -0.0625            0.0625                56 
        -0.0625           -0.0625            0.0625                57 
        -0.0625           -0.0625            0.1875                58 
         0.0625           -0.1875            0.0625                59 
         0.0625           -0.0625            0.0625                60 
         0.1875           -0.0625            0.0625                61 
         0.0625           -0.1875            0.1875                62 
         0.1875           -0.0625            0.1875                63 
        -0.0625            0.0625            0.0625                64 
        -0.0625            0.0625            0.1875                65 
        -0.0625            0.1875            0.1875                66 
         0.0625            0.0625            0.0625                67 
         0.0625            0.1875            0.0625                68 
         0.1875            0.1875            0.0625                69 
       -0.03125          -0.09375          -0.09375                70 
       -0.03125          -0.03125          -0.09375                71 
       -0.03125          -0.09375          -0.03125                72 
       -0.09375          -0.03125          -0.03125                73 
       -0.03125          -0.03125          -0.03125                74 
        0.03125          -0.03125          -0.09375                75 
        0.03125          -0.09375          -0.03125                76 
        0.09375          -0.09375          -0.03125                77 
        0.03125          -0.03125          -0.03125                78 
        0.09375          -0.03125          -0.03125                79 
       -0.03125           0.03125          -0.03125                80 
        0.03125           0.03125          -0.09375                81 
        0.09375           0.03125          -0.09375                82 
        0.03125           0.09375          -0.09375                83 
        0.03125           0.03125          -0.03125                84 
        0.09375           0.03125          -0.03125                85 
        0.03125           0.09375          -0.03125                86 
        0.09375           0.09375          -0.03125                87 
       -0.03125          -0.09375           0.03125                88 
       -0.03125          -0.03125           0.03125                89 
       -0.03125          -0.03125           0.09375                90 
        0.03125          -0.09375           0.03125                91 
        0.09375          -0.09375           0.03125                92 
        0.03125          -0.03125           0.03125                93 
        0.09375          -0.03125           0.03125                94 
        0.03125          -0.09375           0.09375                95 
        0.03125          -0.03125           0.09375                96 
        0.09375          -0.03125           0.09375                97 
       -0.09375           0.03125           0.03125                98 
       -0.03125           0.03125           0.03125                99 
       -0.09375           0.09375           0.03125               100 
       -0.03125           0.03125           0.09375               101 
        0.03125           0.03125           0.03125               102 
        0.09375           0.03125           0.03125               103 
        0.03125           0.09375           0.03125               104 
        0.03125           0.03125           0.09375               105 
      -0.046875         -0.046875         -0.046875               106 
      -0.015625         -0.046875         -0.046875               107 
      -0.046875         -0.015625         -0.046875               108 
      -0.015625         -0.015625         -0.046875               109 
      -0.046875         -0.046875         -0.015625               110 
      -0.015625         -0.046875         -0.015625               111 
      -0.046875         -0.015625         -0.015625               112 
      -0.015625         -0.015625         -0.015625               113 
       0.015625         -0.046875         -0.046875               114 
       0.046875         -0.046875         -0.046875               115 
       0.015625         -0.015625         -0.046875               116 
       0.015625         -0.046875         -0.015625               117 
       0.046875         -0.046875         -0.015625               118 
       0.015625         -0.015625         -0.015625               119 
       0.046875         -0.015625         -0.015625               120 
      -0.046875          0.015625         -0.046875               121 
      -0.015625          0.015625         -0.046875               122 
      -0.015625          0.046875         -0.046875               123 
      -0.046875          0.015625         -0.015625               124 
      -0.015625          0.015625         -0.015625               125 
      -0.046875          0.046875         -0.015625               126 
      -0.015625          0.046875         -0.015625               127 
       0.015625          0.015625         -0.046875               128 
       0.046875          0.015625         -0.046875               129 
       0.015625          0.015625         -0.015625               130 
       0.046875          0.015625         -0.015625               131 
       0.015625          0.046875         -0.015625               132 
       0.046875          0.046875         -0.015625               133 
      -0.046875         -0.046875          0.015625               134 
      -0.015625         -0.046875          0.015625               135 
      -0.046875         -0.015625          0.015625               136 
      -0.015625         -0.015625          0.015625               137 
      -0.046875         -0.046875          0.046875               138 
      -0.015625         -0.046875          0.046875               139 
      -0.046875         -0.015625          0.046875               140 
      -0.015625         -0.015625          0.046875               141 
       0.015625         -0.046875          0.015625               142 
       0.046875         -0.046875          0.015625               143 
       0.015625         -0.015625          0.015625               144 
       0.046875         -0.015625          0.015625               145 
       0.046875         -0.046875          0.046875               146 
       0.015625         -0.015625          0.046875               147 
      -0.046875          0.015625          0.015625               148 
      -0.015625          0.015625          0.015625               149 
      -0.046875          0.046875          0.015625               150 
      -0.015625          0.046875          0.015625               151 
      -0.046875          0.015625          0.046875               152 
      -0.015625          0.015625          0.046875               153 
      -0.046875          0.046875          0.046875               154 
      -0.015625          0.046875          0.046875               155 
       0.015625          0.015625          0.015625               156 
       0.046875          0.015625          0.015625               157 
       0.015625          0.046875          0.015625               158 
       0.046875          0.046875          0.015625               159 
       0.015625          0.015625          0.046875               160 
       0.015625          0.046875          0.046875               161 
       0.046875          0.046875          0.046875               162 
     -0.0078125        -0.0234375        -0.0234375               163 
     -0.0234375        -0.0078125        -0.0234375               164 
     -0.0078125        -0.0078125        -0.0234375               165 
     -0.0234375        -0.0234375        -0.0078125               166 
     -0.0078125        -0.0234375        -0.0078125               167 
     -0.0234375        -0.0078125        -0.0078125               168 
     -0.0078125        -0.0078125        -0.0078125               169 
      0.0078125        -0.0234375        -0.0234375               170 
      0.0078125        -0.0078125        -0.0234375               171 
      0.0234375        -0.0078125        -0.0234375               172 
      0.0078125        -0.0234375        -0.0078125               173 
