             x                 y                 z              cell   
   -5.26638e-06      -0.000109937      -2.63175e-05             12097 
   -4.45679e-05      -0.000344231      -1.50271e-05              5778 
    9.32496e-05       -0.00111821      -9.45035e-06              2461 
   -0.000210787       0.000381824      -3.73106e-06              6587 
   -0.000298918       0.000207754      -3.80159e-06              6434 
   -0.000203033       0.000307035      -8.75691e-06              6573 
     0.00042237      -0.000131602       7.49162e-07              7483 
    0.000518491       0.000113145      -2.17218e-05              6968 
    0.000260269       0.000138797       9.28334e-06             11775 
    0.000258533       1.79306e-05      -1.74686e-05              6841 
    7.91888e-06       5.11077e-06       5.22364e-06             17765 
   -3.10417e-05       5.72434e-06       1.63085e-05             16836 
    5.74769e-05      -1.33123e-05       3.65352e-05             14197 
   -0.000118402      -7.77911e-05      -5.11238e-05             12028 
   -0.000146221       3.93106e-06      -2.88235e-05             12749 
   -7.19934e-05       -7.0713e-07      -2.38134e-05             12175 
   -0.000102679      -7.48206e-05       0.000268403             10508 
   -2.02847e-06      -5.90973e-06      -1.60151e-05             17322 
   -0.000516404       0.000424986       -0.00105266              2572 
   -2.78279e-06       4.91479e-06      -2.64535e-05             15959 
    -0.00122321      -0.000576005      -0.000436305              2334 
   -2.46216e-05       3.82798e-05      -6.27307e-06             16066 
    -0.00120731      -0.000188234       0.000288626              2932 
   -0.000278877      -0.000215063      -4.45097e-06              5821 
     7.5537e-05      -0.000161026      -2.45756e-05              9047 
    3.97886e-05       3.47051e-05      -5.14455e-05             13361 
    2.56721e-05       1.67076e-05      -9.89931e-05             13186 
   -9.72843e-06      -2.63085e-05       2.47985e-05             16477 
   -0.000123182      -7.18001e-05       9.95321e-05             10263 
     0.00017242      -0.000266176      -0.000163783              8850 
    2.84251e-06      -2.03709e-05      -6.76554e-05             15584 
   -0.000767744       -0.00149947       -0.00111681              1462 
   -0.000172148      -0.000944544        0.00285325              1945 
   -0.000644509      -0.000931182        0.00061929              2982 
    -2.2507e-05       2.65285e-05       0.000650691              5258 
   -7.06484e-05       6.76757e-06      -7.85204e-05             12794 
    -9.2294e-05       7.24536e-06       3.49276e-05             14487 
   -8.86595e-05      -8.61934e-05       3.76993e-05             13658 
   -0.000516273      -0.000219817       0.000622684              4755 
    4.78271e-05       4.82066e-05       0.000113002             15174 
   -0.000116532        0.00404597      -0.000483608               666 
    9.29747e-05       2.26301e-05       3.76273e-05             14986 
    4.93275e-05      -0.000203083      -1.84411e-05              9026 
    4.46904e-05        5.2123e-05       0.000116192             15173 
    -4.3804e-06       9.56897e-05       2.03473e-05             14642 
   -0.000965179        0.00188081      -0.000305093              1720 
     0.00033233       8.90853e-05      -0.000186198              6811 
    0.000106757       7.16857e-05       4.24826e-05             15093 
   -3.85911e-05       0.000177542       0.000246005              7930 
     0.00030121      -0.000220733       0.000302247              7609 
    1.78283e-07       2.83931e-05      -3.21572e-05             16129 
   -0.000234045        0.00142581       7.57411e-05              3332 
   -1.98503e-05      -9.71013e-05      -0.000115334             11890 
     1.5869e-06      -0.000146188       0.000294577              7558 
     0.00023536      -0.000237878       3.93519e-05              7418 
    1.70374e-05      -8.71583e-05      -2.89106e-05             12510 
   -7.06956e-05         -0.000123       0.000412127              7296 
   -0.000327158       8.63472e-05      -0.000441263              4194 
   -4.33112e-05        0.00116064       0.000592972              3352 
   -5.24994e-05       4.46766e-05       4.77943e-05             14568 
    -6.6833e-05       0.000110198      -4.42941e-05             13064 
    2.35509e-05       1.79111e-05      -5.83559e-05             16104 
    0.000312073      -0.000249699       3.48261e-05              7389 
    8.36882e-07       9.71619e-06       3.02303e-05             17095 
